Library	Iteration	Term	Description	iteration overlapping genes	iteration p-value	iteration -log(p-value)	Genes removed for next iteration	Full list overlapping genes	Full list p-value	Regular FDR	Full list overlapping genes (gene names)
GO MF	2	GOMF: CATALYTIC ACTIVITY ACTING ON RNA	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA	18/419	1.6859881598678387e-05	4.7731454796057715	AGO3, ALKBH8, DDX10, DDX53, DDX55, DHX33, DIMT1, ERI2, ETF1, EXOSC3, EXOSC5, IGHMBP2, LARS1, POLR1H, POLR3A, POLR3F, TRMT5, YTHDC2	18/419	2.5747224079759782e-05	0.014997758026460074	AGO3, ALKBH8, DDX10, DDX53, DDX55, DHX33, DIMT1, ERI2, ETF1, EXOSC3, EXOSC5, IGHMBP2, LARS1, POLR1H, POLR3A, POLR3F, TRMT5, YTHDC2
GO MF	3	GOMF: GTPASE ACTIVATOR ACTIVITY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_GTPASE_ACTIVATOR_ACTIVITY	11/275	0.0006062232922470982	3.2173673812312615	AGAP2, ARHGAP32, ARHGEF12, ARHGEF19, DEPDC5, GAPVD1, GRTP1, RANBP2, RGPD5, RGPD8, TIAM2	12/275	0.0005157949359075214	0.2003003667774208	AGAP2, ARHGAP32, ARHGEF12, ARHGEF19, DEPDC5, GAPVD1, GRTP1, LARS1, RANBP2, RGPD5, RGPD8, TIAM2
GO MF	4	GOMF: TRANSCRIPTION COREGULATOR ACTIVITY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY	15/528	0.0011587764529907675	2.936000338494231	ARGLU1, BCL9, CRTC2, CRTC3, DNAJB1, FHL3, KAT2A, KDM7A, MED14, MED4, MED6, MED7, NCOR2, NR0B2, PHF12	15/528	0.011978046142950616	0.6192287371181997	ARGLU1, BCL9, CRTC2, CRTC3, DNAJB1, FHL3, KAT2A, KDM7A, MED14, MED4, MED6, MED7, NCOR2, NR0B2, PHF12
GO MF	5	GOMF: ENZYME SUBSTRATE ADAPTOR ACTIVITY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ENZYME_SUBSTRATE_ADAPTOR_ACTIVITY	7/146	0.0008492141816181084	3.070982761859946	ANKRD9, DCAF1, FBXW11, KBTBD7, KLHDC2, KLHL1, PPP2R2A	7/146	0.00455179281249179	0.49984506250198196	ANKRD9, DCAF1, FBXW11, KBTBD7, KLHDC2, KLHL1, PPP2R2A
GO MF	6	GOMF: ALPHA TUBULIN BINDING	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ALPHA_TUBULIN_BINDING	4/44	0.0009319102588327552	3.0306259073565753	DNAL1, FNTA, SPAST, TAOK1	4/44	0.003302555009442078	0.48093457325000266	DNAL1, FNTA, SPAST, TAOK1
GO MF	7	GOMF: CARGO ADAPTOR ACTIVITY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_CARGO_ADAPTOR_ACTIVITY	3/21	0.0010294479040737446	2.987395626263792	AP2M1, GOLPH3, HIP1R	3/21	0.0030111293598458775	0.48093457325000266	AP2M1, GOLPH3, HIP1R
GO MF	8	GOMF: HEXOSYLTRANSFERASE ACTIVITY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_HEXOSYLTRANSFERASE_ACTIVITY	7/202	0.003038599521239956	2.517326534923861	A4GALT, DPM1, MGAT1, PIGY, PLOD3, STT3A, TMTC1	7/202	0.02405234772392751	0.6226885577416789	A4GALT, DPM1, MGAT1, PIGY, PLOD3, STT3A, TMTC1
GO MF	9	GOMF: G PROTEIN ACTIVITY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_G_PROTEIN_ACTIVITY	4/67	0.00301044319658045	2.5213695629907655	RAB1B, RAB28, RAB2A, RAP1B	4/67	0.014538147208553535	0.6192287371181997	RAB1B, RAB28, RAB2A, RAP1B
GO MF	10	GOMF: GTPASE BINDING	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_GTPASE_BINDING	8/322	0.00682810879307942	2.1656995678359134	EPS8, FGD6, ITPKA, RIMS4, RRAGB, RUSC2, SPTBN1, TNPO3	12/322	0.0020064321765438722	0.46749869713472225	DEPDC5, EPS8, FGD6, GAPVD1, ITPKA, RANBP2, RGPD8, RIMS4, RRAGB, RUSC2, SPTBN1, TNPO3
GO CC	1	GOCC: NUCLEAR PORE OUTER RING	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_NUCLEAR_PORE_OUTER_RING	4/10	1.1711277008297883e-05	4.931395746480233	NUP107, NUP133, NUP160, NUP85	4/10	1.1711277008297883e-05	0.0068251633426361065	NUP107, NUP133, NUP160, NUP85
GO CC	2	GOCC: CORE MEDIATOR COMPLEX	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_CORE_MEDIATOR_COMPLEX	5/26	4.214352300853312e-05	4.375269162149553	MED14, MED28, MED4, MED6, MED7	5/26	4.6629072249497655e-05	0.010631428472885465	MED14, MED28, MED4, MED6, MED7
GO CC	3	GOCC: GOLGI TRANSPORT COMPLEX	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_GOLGI_TRANSPORT_COMPLEX	3/10	0.00037117149638211944	3.4304253822356663	COG2, COG3, COG4	3/10	0.0004276549384100697	0.05850319557449754	COG2, COG3, COG4
GO CC	4	GOCC: ENDOPLASMIC RETICULUM PROTEIN CONTAINING COMPLEX	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	8/121	0.00042488699658615694	3.3717265600314397	DDOST, PDIA6, PIGH, PIGK, PIGY, PPIB, SPCS3, STT3A	8/121	0.0006531498283370408	0.06382206894036227	DDOST, PDIA6, PIGH, PIGK, PIGY, PPIB, SPCS3, STT3A
GO CC	5	GOCC: ENDOPLASMIC RETICULUM GOLGI INTERMEDIATE COMPARTMENT MEMBRANE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE	6/81	0.0009844778094986477	3.0067940685770567	GOSR2, MGAT1, RAB1B, RAB2A, STX5, TMED2	6/81	0.0017364087794315697	0.1273009050301809	GOSR2, MGAT1, RAB1B, RAB2A, STX5, TMED2
GO CC	6	GOCC: NUCLEAR EXOSOME RNASE COMPLEX	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_NUCLEAR_EXOSOME_RNASE_COMPLEX	3/16	0.0012222493809635384	2.912840174022554	EXOSC3, EXOSC5, MPHOSPH6	3/16	0.0018611243425465042	0.1273009050301809	EXOSC3, EXOSC5, MPHOSPH6
GO CC	7	GOCC: CULLIN RING UBIQUITIN LIGASE COMPLEX	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	9/232	0.004000646053704692	2.3978698699463177	ANKRD9, DCAF1, DEPDC5, FBH1, FBXW11, KBTBD7, KLHDC2, KLHL1, WDTC1	9/232	0.011358555996840696	0.32631811515100106	ANKRD9, DCAF1, DEPDC5, FBH1, FBXW11, KBTBD7, KLHDC2, KLHL1, WDTC1
GO CC	8	GOCC: NUCLEAR PORE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_NUCLEAR_PORE	5/96	0.007347402865572392	2.133866146694582	NUP153, NUP155, RANBP2, RGPD5, RGPD8	9/96	1.9956617960924287e-05	0.0068251633426361065	NUP107, NUP133, NUP153, NUP155, NUP160, NUP85, RANBP2, RGPD5, RGPD8
GO CC	9	GOCC: CLATHRIN COATED VESICLE MEMBRANE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE	6/140	0.00741284823498298	2.130014891202167	AP2M1, ATP6V0A1, CD4, EGF, EGFR, HIP1R	6/140	0.023520972574549284	0.4275913576646066	AP2M1, ATP6V0A1, CD4, EGF, EGFR, HIP1R
GO CC	10	GOCC: SPINDLE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_SPINDLE	12/449	0.006543680155549909	2.1841779364263503	AGBL5, AKT1, CAPN6, CSPP1, CTDP1, IKBKG, KAT2A, KMT5B, MAP4, SPAST, TFDP2, WNK1	13/449	0.031577680990682575	0.4872389423064517	AGBL5, AKT1, CAPN6, CSPP1, CTDP1, IKBKG, KAT2A, KMT5B, MAP4, NUP85, SPAST, TFDP2, WNK1
