collection,term,es,nes,size,p_value,matched_genes,fdr
Hallmark,HALLMARK_APICAL_JUNCTION,-0.5233,-2.0443,118,0.000999000999000999,"ACTB, ACTC1, ACTG2, ACTN1, ACTN4, ADAM15, ADAM23, ADAM9, AKT3, AMIGO2, ARHGEF6, ARPC2, B4GALT1, BAIAP2, BMP1, CAP1, CD209, CD274, CD276, CD34, CD86, CD99, CDH1, CDH11, CDH3, CDH6, CDSN, CERCAM, CLDN11, CLDN4, CLDN7, CNN2, CNTN1, COL16A1, COL17A1, COL9A1, CRAT, CTNND1, DSC3, EGFR, EPB41L2, EVL, FBN1, FLNC, FSCN1, GNAI1, GRB7, HADH, HRAS, ICAM1, INSIG1, IRS1, ITGA2, ITGA3, ITGA9, ITGB1, ITGB4, JAM3, JUP, LAMA3, LAMB3, LAMC2, LDLRAP1, LIMA1, MAP4K2, MAPK13, MDK, MMP2, MMP9, MPZL1, MPZL2, MSN, MYH10, MYH9, MYL12B, MYL9, NEXN, NF2, NFASC, NLGN2, PARVA, PCDH1, PIK3CB, PIK3R3, PKD1, PLCG1, PTEN, PTK2, PTPRC, RAC2, RASA1, RSU1, SGCE, SHC1, SHROOM2, SIRPA, SKAP2, SLIT2, SORBS3, SPEG, SRC, SYK, TGFBI, THBS3, THY1, TNFRSF11B, TRO, TUBG1, VASP, VAV2, VCAM1, VCAN, VCL, VWF, WASL, WNK4, YWHAH, ZYX",0.002331002331002331
Hallmark,HALLMARK_HYPOXIA,-0.5062,-2.0209,138,0.000999000999000999,"ACKR3, ADM, AKAP12, ALDOA, ALDOB, ALDOC, AMPD3, ANGPTL4, ANKZF1, ANXA2, ATF3, ATP7A, BGN, BHLHE40, BNIP3L, BTG1, CA12, CAV1, CCNG2, CDKN1A, CDKN1B, CHST3, CITED2, COL5A1, CP, CXCR4, DCN, DDIT4, DTNA, DUSP1, EFNA1, EGFR, ENO1, ENO2, ERRFI1, ETS1, EXT1, F3, FAM162A, FBP1, FOS, FOSL2, GAA, GAPDH, GBE1, GCNT2, GLRX, GPC1, GPC3, GPC4, GPI, GRHPR, GYS1, HK1, HK2, HMOX1, HSPA5, IDS, IGFBP3, IL6, ILVBL, IRS2, JUN, KDELR3, KDM3A, KIF5A, KLF6, KLF7, KLHL24, LDHA, LOX, LXN, MAP3K1, MIF, MT1E, MT2A, MXI1, MYH9, NAGK, NDRG1, NDST1, NDST2, NEDD4L, NFIL3, NR3C1, P4HA1, P4HA2, PAM, PDK1, PDK3, PFKFB3, PFKL, PFKP, PGK1, PGM1, PGM2, PIM1, PKP1, PLAC8, PLAUR, PLIN2, PNRC1, PPARGC1A, PPFIA4, PPP1R15A, PPP1R3C, PRDX5, PRKCA, RORA, RRAGD, S100A4, SCARB1, SDC2, SDC4, SELENBP1, SERPINE1, SLC25A1, SLC2A1, SLC2A3, SLC37A4, SLC6A6, SRPX, STC1, TES, TGFB3, TGFBI, TGM2, TIPARP, TMEM45A, TNFAIP3, TPD52, TPI1, VEGFA, VHL, VLDLR, WSB1, ZFP36, ZNF292",0.002331002331002331
Hallmark,HALLMARK_IL2_STAT5_SIGNALING,-0.4272,-1.7117,129,0.000999000999000999,"ABCB1, ADAM19, AHCY, AHNAK, AHR, ALCAM, AMACR, ANXA4, BCL2L1, BHLHE40, BMP2, BMPR2, CA2, CAPG, CAPN3, CASP3, CCND2, CCND3, CCNE1, CD44, CD48, CD81, CD86, CDC6, CDCP1, CKAP4, COCH, COL6A1, CTSZ, CXCL10, DENND5A, DHRS3, ECM1, EMP1, ENPP1, FAH, FGL2, FURIN, GABARAPL1, GALM, GBP4, GPX4, GSTO1, HIPK2, HK2, IFITM3, IFNGR1, IGF1R, IKZF2, IL10RA, IL1R2, IL1RL1, IL2RA, IL4R, IRF4, IRF6, IRF8, ITGA6, ITGAE, ITGAV, ITIH5, KLF6, LCLAT1, LIF, LRIG1, LRRC8C, MAP3K8, MUC1, MXD1, MYC, MYO1C, MYO1E, NCOA3, NCS1, NDRG1, NFIL3, NFKBIZ, NOP2, NRP1, NT5E, ODC1, P2RX4, P4HA1, PHLDA1, PHTF2, PIM1, PLAGL1, PLEC, PLIN2, PLSCR1, PNP, PRKCH, PRNP, PTCH1, PUS1, RABGAP1L, RGS16, RHOB, RNH1, RORA, RRAGD, SCN9A, SELL, SELP, SERPINB6, SLC1A5, SLC29A2, SLC2A3, SLC39A8, SMPDL3A, SNX14, SNX9, SPP1, SPRED2, ST3GAL4, SWAP70, SYNGR2, TGM2, TIAM1, TLR7, TNFRSF1B, TNFRSF21, TNFSF10, TTC39B, TWSG1, UCK2, UMPS, WLS, XBP1",0.002331002331002331
Hallmark,HALLMARK_E2F_TARGETS,0.8142,3.1525,134,0.000999000999000999,"ANP32E, ASF1A, ATAD2, AURKA, BARD1, BRCA1, BRCA2, BUB1B, CBX5, CCNB2, CCNE1, CCP110, CDC20, CDC25B, CDCA8, CDK1, CDK4, CDKN1A, CDKN1B, CDKN2A, CDKN2C, CENPE, CHEK1, CHEK2, CIT, CKS2, CSE1L, CTPS1, DDX39A, DEK, DEPDC1, DIAPH3, DLGAP5, DNMT1, DONSON, E2F8, ESPL1, EZH2, HELLS, HMGA1, HMGB2, HMGB3, HMMR, IPO7, KIF22, KIF2C, KIF4A, KPNA2, LBR, LIG1, LMNB1, LUC7L3, LYAR, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, MELK, MKI67, MMS22L, MSH2, MTHFD2, MYBL2, MYC, NAP1L1, NASP, NBN, NCAPD2, NME1, NOLC1, NOP56, NUP107, NUP153, ORC6, PA2G4, PAICS, PAN2, PCNA, PDS5B, PLK1, PLK4, PNN, POLA2, POLD1, POLD2, POLD3, POLE, PRDX4, PRIM2, PRKDC, PRPS1, PSIP1, PSMC3IP, PTTG1, RACGAP1, RAD1, RAD21, RAD50, RAD51C, RAN, RANBP1, RBBP7, RFC2, RFC3, RNASEH2A, RPA1, RPA3, RRM2, SHMT1, SLBP, SMC3, SMC4, SMC6, SNRPB, SPAG5, SSRP1, STMN1, TACC3, TFRC, TIMELESS, TMPO, TOP2A, TP53, TRIP13, TUBB, TUBG1, UBE2T, UBR7, UNG, USP1, WDR90, WEE1",0.002331002331002331
Hallmark,HALLMARK_MITOTIC_SPINDLE,0.5455,2.112,134,0.000999000999000999,"ABL1, ABR, ACTN4, AKAP13, ANLN, APC, ARAP3, ARF6, ARHGAP10, ARHGAP27, ARHGAP29, ARHGAP4, ARHGAP5, ARHGEF12, ARHGEF2, ARHGEF3, AURKA, BCL2L11, BCR, BIN1, BRCA2, BUB1, CCDC88A, CCNB2, CD2AP, CDC42BPA, CDK1, CDK5RAP2, CENPE, CENPF, CENPJ, CEP192, CEP250, CEP72, CKAP5, CLIP1, CLIP2, CNTRL, CNTROB, CTTN, CYTH2, DLGAP5, DOCK2, DOCK4, DST, DYNLL2, ECT2, EPB41, EPB41L2, ESPL1, EZR, FARP1, FBXO5, FGD4, FGD6, FLNA, FLNB, FSCN1, GEMIN4, GSN, HOOK3, INCENP, ITSN1, KATNB1, KIF11, KIF15, KIF20B, KIF22, KIF23, KIF2C, KIF3C, KIF4A, KIFAP3, KNTC1, LLGL1, LMNB1, MARCKS, MID1, MYH10, MYH9, MYO1E, NCK1, NDC80, NEDD9, NEK2, NET1, NIN, NOTCH2, NUSAP1, OPHN1, PALLD, PCGF5, PCM1, PCNT, PDLIM5, PKD2, PLEKHG2, PLK1, PRC1, PREX1, PXN, RABGAP1, RACGAP1, RALBP1, RANBP9, RAPGEF5, RASA1, RASA2, RASAL2, RICTOR, ROCK1, SASS6, SHROOM1, SHROOM2, SMC3, SMC4, SORBS2, SOS1, SPTAN1, SPTBN1, SSH2, STK38L, SUN2, SYNPO, TIAM1, TOP2A, TPX2, TRIO, TTK, TUBA4A, TUBGCP6, VCL, WASL, YWHAE",0.002331002331002331
Hallmark,HALLMARK_MYC_TARGETS_V1,0.6725,2.6071,124,0.000999000999000999,"ACP1, AP3S1, C1QBP, CAD, CANX, CBX3, CCNA2, CCT2, CCT3, CCT4, CCT5, CCT7, CDC20, CDC45, CDK2, CDK4, COX5A, CSTF2, CTPS1, CYC1, DDX21, DEK, EEF1B2, EIF2S2, EIF3B, EIF3J, EIF4H, ERH, ETF1, EXOSC7, FBL, GLO1, GNL3, GOT2, HDAC2, HDDC2, HDGF, HNRNPA1, HPRT1, HSP90AB1, HSPD1, HSPE1, IFRD1, ILF2, IMPDH2, KPNA2, LDHA, MCM2, MCM4, MCM5, MCM6, MCM7, MRPL9, MRPS18B, MYC, NAP1L1, NDUFAB1, NHP2, NME1, NOLC1, NOP56, NPM1, ODC1, PA2G4, PABPC1, PABPC4, PCNA, PGK1, PHB2, POLD2, PPIA, PRDX3, PRDX4, PRPS2, PSMA2, PSMA4, PSMA6, PSMA7, PSMB2, PSMB3, PSMC4, PSMD14, PSMD7, PSMD8, PTGES3, RAD23B, RAN, RANBP1, RFC4, RPL14, RPL18, RPL22, RPL34, RPL6, RPLP0, RPS2, RPS3, RPS5, RPS6, RRM1, RUVBL2, SET, SMARCC1, SNRPB2, SNRPD1, SNRPD2, SNRPD3, SNRPG, SRPK1, SSB, TCP1, TFDP1, TRIM28, TUFM, TXNL4A, TYMS, UBA2, USP1, VBP1, VDAC1, VDAC3, XPOT, YWHAE, YWHAQ",0.002331002331002331
Hallmark,HALLMARK_KRAS_SIGNALING_UP,-0.4864,-1.9431,137,0.000999000999000999,"ABCB1, ACE, ADAM17, ADAM8, ADAMDEC1, AKAP12, ALDH1A2, ALDH1A3, ANGPTL4, ANKH, ANO1, ANXA10, APOD, BIRC3, BMP2, BPGM, BTBD3, C3AR1, CA2, CAB39L, CCL20, CCND2, CCSER2, CD37, CFB, CFH, CPE, CROT, CSF2RA, CTSS, CXCL10, CXCR4, DCBLD2, DNMBP, DOCK2, DUSP6, EMP1, ENG, EPB41L3, EPHB2, EREG, ETS1, ETV1, ETV5, F13A1, F2RL1, FBXO4, FCER1G, FLT4, FUCA1, GALNT3, GFPT2, GLRX, GPNMB, GPRC5B, GYPC, HBEGF, HDAC9, HSD11B1, ID2, IGF2, IGFBP3, IKZF1, IL10RA, IL1B, IL2RG, IL33, IL7R, INHBA, IRF8, ITGA2, ITGB2, ITGBL1, JUP, KCNN4, KIF5C, KLF4, LAPTM5, LCP1, LIF, MALL, MAP3K1, MAP4K1, MAP7, MMP10, MMP11, MMP9, MPZL2, MTMR10, MYCN, NIN, NR1H4, NRP1, PEG3, PIGR, PLAT, PLAU, PLAUR, PLEK2, PLVAP, PPP1R15A, PRDM1, PRRX1, PSMB8, PTBP2, PTGS2, PTPRR, RABGAP1L, RBM4, RELN, RGS16, SATB1, SEMA3B, SERPINA3, SLPI, SOX9, SPARCL1, SPON1, SPP1, SPRY2, ST6GAL1, TFPI, TMEM176A, TMEM176B, TNFAIP3, TNFRSF1B, TNNT2, TOR1AIP2, TRIB1, TRIB2, TSPAN1, TSPAN13, TSPAN7, USP12, VWA5A, ZNF277, ZNF639",0.002331002331002331
Hallmark,HALLMARK_P53_PATHWAY,-0.4214,-1.6575,135,0.000999000999000999,"ABAT, ABCC5, ABHD4, ACVR1B, ADA, AK1, ANKRA2, APP, ATF3, BAIAP2, BLCAP, BMP2, BTG1, BTG2, CASP1, CCND2, CCND3, CCNG1, CCNK, CCP110, CD81, CD82, CDH13, CDKN1A, CDKN2A, CEBPA, CLCA2, CTSD, CTSF, CYFIP2, DCXR, DDB2, DDIT4, DEF6, DGKA, DRAM1, EI24, EPHA2, EPHX1, EPS8L2, F2R, FAM162A, FAS, FBXW7, FOS, FUCA1, GADD45A, GM2A, GPX2, HBEGF, HEXIM1, HINT1, HMOX1, HRAS, HSPA4L, IER5, IFI30, IL1A, IP6K2, IRAK1, ITGB4, JAG2, JUN, KIF13B, KLF4, KRT17, LDHB, LIF, MAPKAPK3, MDM2, MKNK2, MXD1, NDRG1, NOTCH1, PCNA, PERP, PITPNC1, PLK2, PLK3, PLXNB2, POLH, PPP1R15A, PROCR, PTPN14, PTPRE, RAD51C, RALGDS, RB1, RETSAT, RGS16, RHBDF2, RNF19B, RPL18, RPL36, RPS12, RPS27L, RXRA, S100A10, S100A4, SAT1, SDC1, SERPINB5, SESN1, SFN, SLC19A2, SLC35D1, SLC3A2, SLC7A11, ST14, STEAP3, STOM, TAP1, TCHH, TCN2, TGFB1, TM4SF1, TM7SF3, TOB1, TP53, TP63, TPD52L1, TRAF4, TRAFD1, TSC22D1, TSPYL2, TXNIP, UPP1, VAMP8, VDR, VWA5A, WWP1, XPC, ZBTB16, ZFP36L1, ZMAT3",0.002331002331002331
Hallmark,HALLMARK_MTORC1_SIGNALING,0.4814,1.8903,143,0.000999000999000999,"ACACA, ACSL3, ADD3, ADIPOR2, ALDOA, ASNS, AURKA, BCAT1, BHLHE40, BTG2, BUB1, CACYBP, CALR, CANX, CCNF, CCNG1, CCT6A, CD9, CDKN1A, CORO1A, CTSC, CXCR4, CYB5B, CYP51A1, DAPP1, DDIT4, DDX39A, DHCR24, DHCR7, EBP, EDEM1, EGLN3, EIF2S2, ELOVL5, ENO1, ETF1, FADS1, FADS2, FGL2, G6PD, GAPDH, GBE1, GCLC, GLA, GLRX, GMPS, GOT1, GPI, GSR, HK2, HMBS, HMGCR, HMGCS1, HPRT1, HSP90B1, HSPA5, HSPA9, HSPD1, HSPE1, IDH1, IDI1, IFI30, IFRD1, IGFBP5, INSIG1, ITGB2, LDHA, LDLR, LGMN, LTA4H, MAP2K3, MCM2, MCM4, ME1, MTHFD2, NAMPT, NFIL3, NFYC, P4HA1, PDAP1, PDK1, PFKL, PGK1, PGM1, PHGDH, PIK3R3, PLK1, PLOD2, PNP, PPA1, PPIA, PPP1R15A, PRDX1, PSAT1, PSMA3, PSMA4, PSMB5, PSMC4, PSMD14, PSMG1, QDPR, RDH11, RIT1, RPA1, RPN1, RRM2, SC5D, SCD, SERP1, SERPINH1, SHMT2, SKAP2, SLA, SLC1A4, SLC1A5, SLC2A1, SLC2A3, SLC37A4, SLC6A6, SLC7A11, SLC7A5, SORD, SQLE, SQSTM1, SSR1, STC1, STIP1, SYTL2, TBK1, TES, TFRC, TM7SF2, TMEM97, TPI1, TUBA4A, TUBG1, TXNRD1, UCHL5, UNG, USO1, VLDLR, XBP1, YKT6",0.002331002331002331
Hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.5509,-2.2198,144,0.000999000999000999,"ABCA1, ACKR3, AREG, ATF3, ATP2B1, B4GALT1, B4GALT5, BCL2A1, BCL6, BHLHE40, BIRC3, BMP2, BTG1, BTG2, BTG3, CCL2, CCL20, CCL4, CCL5, CCND1, CD44, CD69, CDKN1A, CEBPB, CFLAR, CXCL1, CXCL10, DENND5A, DNAJB4, DRAM1, DUSP1, DUSP4, DUSP5, EDN1, EFNA1, EGR1, EGR2, EHD1, EIF1, ETS2, F2RL1, F3, FOS, FOSB, FOSL2, GADD45A, GCH1, GEM, GFPT2, GPR183, HBEGF, HES1, ICAM1, ID2, IER5, IFIH1, IFIT2, IFNGR2, IL1A, IL1B, IL6, IL6ST, IL7R, INHBA, IRF1, IRS2, JAG1, JUN, JUNB, KDM6B, KLF10, KLF4, KLF6, KYNU, LAMB3, LDLR, LIF, LITAF, MAP2K3, MAP3K8, MARCKS, MCL1, MXD1, MYC, NAMPT, NFAT5, NFE2L2, NFIL3, NFKB2, NFKBIA, NR4A1, NR4A2, NR4A3, OLR1, PANX1, PDE4B, PDLIM5, PER1, PFKFB3, PHLDA1, PLAU, PLAUR, PLEK, PLK2, PMEPA1, PNRC1, PPP1R15A, PTGS2, PTPRE, RCAN1, REL, RHOB, RIPK2, RNF19B, SAT1, SDC4, SERPINB2, SERPINE1, SGK1, SLC2A3, SMAD3, SOCS3, SOD2, SQSTM1, STAT5A, TANK, TAP1, TGIF1, TIPARP, TLR2, TNC, TNFAIP2, TNFAIP3, TNFAIP6, TNFAIP8, TNIP1, TRIB1, TRIP10, TSC22D1, TUBB2A, VEGFA, ZBTB10, ZC3H12A, ZFP36",0.002331002331002331
