gene,log2FC,mean_responder,mean_nonresponder,statistic,p_value,fdr
KNTC1,0.3668,12.9531,12.5863,10282.0,8.043904625769125e-05,0.008707799003808072
CDCA8,0.5091,9.9956,9.4865,10281.0,8.097825328406081e-05,0.008707799003808072
ECT2,0.4459,11.9529,11.507,10279.0,8.206693335018318e-05,0.008707799003808072
NOTCH4,-0.4591,8.835,9.2941,5365.0,8.428592786638358e-05,0.008809766460422154
MCM10,0.5694,9.8909,9.3215,10264.0,9.06841582790059e-05,0.008859741862453889
ABCA6,-0.9368,9.6315,10.5684,5377.0,9.128802703697322e-05,0.008859741862453889
MCM4,0.4849,12.6284,12.1435,10263.0,9.128802703697322e-05,0.008859741862453889
BUB1,0.4334,10.9112,10.4778,10261.0,9.250717710725664e-05,0.008859741862453889
NCAPH,0.513,10.163,9.6501,10260.0,9.312250314502152e-05,0.008859741862453889
DLC1,-0.5007,10.5199,11.0206,5383.0,9.499175616437966e-05,0.008859741862453889
KIF15,0.5623,10.0701,9.5079,10250.0,9.9492065099043e-05,0.008859741862453889
IL1RL1,-0.8826,6.7043,7.5869,5391.0,0.0001001511623439316,0.008859741862453889
UST,-0.709,8.1192,8.8281,5391.0,0.0001001511623439316,0.008859741862453889
HELLS,0.3743,11.3072,10.9329,10246.0,0.00010215327137895888,0.008859741862453889
LTBP4,-0.5483,10.3398,10.888,5394.0,0.00010215327137895888,0.008859741862453889
CACYBP,0.4052,10.6787,10.2736,10242.0,0.00010488156320977121,0.008859741862453889
SSH1,-0.2414,11.4848,11.7262,5398.0,0.00010488156320977121,0.008859741862453889
CCNA2,0.509,10.3676,9.8587,10242.0,0.00010488156320977121,0.008859741862453889
RFC3,0.4222,9.5361,9.1139,10241.0,0.00010557430226639391,0.008859741862453889
NEK2,0.5921,9.7793,9.1872,10240.0,0.0001062713574819544,0.008859741862453889
NCAPG,0.5307,10.5265,9.9958,10240.0,0.0001062713574819544,0.008859741862453889
GRB10,-0.4766,9.9161,10.3927,5407.0,0.00011127372114746531,0.009061044990647669
HIST1H2BO,0.5421,11.0919,10.5497,10233.0,0.00011127372114746531,0.009061044990647669
THBD,-0.7755,10.3189,11.0944,5415.0,0.0001172625102627795,0.009438958153680975
EIF2AK1,0.2234,13.1668,12.9434,10216.0,0.00012436281506996718,0.009849545383380598
KIF23,0.4643,11.2487,10.7844,10215.0,0.00012517628717990478,0.009849545383380598
CASC5,0.4175,11.1872,10.7696,10213.0,0.00012681830154254587,0.009867872952249432
MACF1,-0.2989,15.5338,15.8326,5431.0,0.0001301634222419446,0.010016862043520198
PSMD4,0.3274,12.3589,12.0315,10207.0,0.00013186699773941159,0.010037658534446731
PRR11,0.4745,10.7723,10.2979,10199.0,0.0001388936568609639,0.010458841709648713
NCSTN,0.3236,13.4997,13.1761,10196.0,0.00014161844034452968,0.010465315810780125
DCBLD1,-0.3434,10.2143,10.5576,5445.0,0.00014253783411749925,0.010465315810780125
PCNA,0.3752,11.3919,11.0167,10194.0,0.00014346284704196659,0.010465315810780125
HIST2H2BF,0.4591,13.0059,12.5468,10191.0,0.00014627192110532695,0.01056022952062479
KIF11,0.4553,10.9959,10.5406,10185.0,0.00015204615292536072,0.010865093968737766
KIAA0141,-0.2741,9.5805,9.8546,5459.0,0.0001560141264341808,0.011036029569884526
PIEZO2,-0.6374,9.6664,10.3038,5465.0,0.0001621492415258134,0.01105963803486339
UFC1,0.2851,12.2598,11.9747,10175.0,0.0001621492415258134,0.01105963803486339
NDC80,0.5367,10.3666,9.8299,10175.0,0.0001621492415258134,0.01105963803486339
SDHC,0.3317,11.5895,11.2579,10174.0,0.00016319357362141071,0.01105963803486339
RMI1,0.3767,9.825,9.4483,10173.0,0.0001642442318471787,0.01105963803486339
C1orf112,0.3564,10.7082,10.3518,10169.0,0.00016851084097286448,0.011170965487639229
CENPI,0.4374,9.5157,9.0784,10167.0,0.00017068303686668536,0.011170965487639229
CDC6,0.4711,10.7619,10.2907,10167.0,0.00017068303686668536,0.011170965487639229
ETS2,-0.397,12.15,12.547,5483.0,0.00018194474055362829,0.011797768686083879
BORA,0.3037,9.6178,9.3141,10153.0,0.00018664208076314435,0.011958201908307509
CHAF1A,0.3895,11.1012,10.7116,10152.0,0.00018783410108722348,0.011958201908307509
KIFC1,0.5191,10.4621,9.943,10134.0,0.00021055302757893852,0.013283809478696455
HIST1H2BL,0.6005,11.2329,10.6324,10132.0,0.00021323084946649076,0.013298369907003945
ZWILCH,0.2682,10.2533,9.9852,10131.0,0.00021458172204647235,0.013298369907003945
MCM7,0.3087,12.3645,12.0559,10123.0,0.00022568163928464484,0.013829793659766405
S100A2,-1.505,7.7501,9.2551,5518.0,0.00022710642165830878,0.013829793659766405
KIAA1524,0.3945,10.4279,10.0334,10114.0,0.00023881241956134563,0.014290525753726982
RACGAP1,0.3929,11.0834,10.6905,10112.0,0.00024182613133558352,0.014290525753726982
HIST1H3H,0.6133,9.9497,9.3365,10111.0,0.0002433463323358863,0.014290525753726982
EZH2,0.4425,10.8088,10.3663,10111.0,0.0002433463323358863,0.014290525753726982
SKP2,0.4709,11.5223,11.0514,10110.0,0.0002448754948518118,0.014290525753726982
RAD54L,0.5149,10.6945,10.1796,10097.0,0.0002655926791598056,0.014738307961593053
ATAD5,0.4061,10.518,10.1119,10097.0,0.0002655926791598056,0.014738307961593053
ERI2,0.2912,9.9272,9.6361,10097.0,0.0002655926791598056,0.014738307961593053
HIST1H3B,0.4722,10.0622,9.59,10096.0,0.0002672525467436838,0.014738307961593053
PLK4,0.4018,10.0005,9.5987,10095.0,0.00026892213490519346,0.014738307961593053
PSENEN,0.2878,10.9012,10.6134,10094.0,0.00027060149626092876,0.014738307961593053
NOTCH3,-0.3379,13.3094,13.6473,5546.0,0.00027060149626092876,0.014738307961593053
MELK,0.5203,10.4251,9.9048,10094.0,0.00027060149626092876,0.014738307961593053
TICRR,0.5353,10.3936,9.8582,10092.0,0.00027398975031102065,0.014738307961593053
CIT,0.456,11.2487,10.7927,10091.0,0.00027569874953144223,0.014738307961593053
PDLIM7,-0.5255,8.4514,8.9769,5549.0,0.00027569874953144223,0.014738307961593053
HIST1H2AH,0.4531,11.3019,10.8488,10085.0,0.0002861643523740738,0.015048317992278402
GTSE1,0.4746,9.7742,9.2997,10084.0,0.0002879443968249758,0.015048317992278402
TGFBR2,-0.4187,11.9706,12.3893,5556.0,0.0002879443968249758,0.015048317992278402
SLBP,0.2599,10.972,10.7121,10079.0,0.0002970012772274606,0.015388288144921596
IGFBP4,-0.5214,9.5862,10.1077,5562.0,0.00029884437922452335,0.015388288144921596
DFNA5,-0.5727,8.7084,9.2811,5567.0,0.0003082216621085479,0.015458826213371782
HIST1H2BK,0.321,11.536,11.215,10072.0,0.00031012987915829654,0.015458826213371782
METTL13,0.2521,10.5292,10.2771,10071.0,0.0003120491529742525,0.015458826213371782
SLC20A2,-0.3391,10.1035,10.4426,5570.0,0.00031397954266896845,0.015458826213371782
HJURP,0.5024,9.7605,9.2582,10068.0,0.0003178739075718316,0.015458826213371782
FOXM1,0.5119,10.2617,9.7497,10068.0,0.0003178739075718316,0.015458826213371782
HSPG2,-0.409,14.5924,15.0014,5572.0,0.0003178739075718316,0.015458826213371782
CCNE1,0.5846,9.2498,8.6652,10068.0,0.0003178739075718316,0.015458826213371782
NID1,-0.4762,11.6331,12.1093,5575.0,0.0003238003182906332,0.015511102777316483
ZYX,-0.313,11.0967,11.4097,5575.0,0.0003238003182906332,0.015511102777316483
JAG2,-0.4601,10.208,10.6681,5577.0,0.00032780854077435944,0.015511102777316483
ATXN1,-0.4015,10.0287,10.4302,5577.0,0.00032780854077435944,0.015511102777316483
SPICE1,0.2139,11.8396,11.6257,10058.0,0.0003380331673474993,0.015863194352546746
DNA2,0.3195,9.8366,9.5171,10057.0,0.0003401135740909126,0.015863194352546746
DUSP7,-0.4608,8.4394,8.9002,5584.0,0.00034220595477749176,0.015863194352546746
FANCB,0.4438,8.8034,8.3595,10055.0,0.0003443103729240476,0.015863194352546746
CEP55,0.4645,9.739,9.2746,10052.0,0.0003506964918510773,0.015947581379435676
PRICKLE2,-0.4887,9.2933,9.7819,5588.0,0.0003506964918510773,0.015947581379435676
NUP210,0.4388,11.9434,11.5047,10047.0,0.0003615867893943451,0.01633672442663612
CEP152,0.231,11.7357,11.5047,10044.0,0.0003682719169826895,0.01651970085150927
CXCL9,1.3257,9.0705,7.7448,10043.0,0.00037052585068042434,0.01651970085150927
CREB3L4,0.3713,8.9279,8.5567,10042.0,0.00037279267563124674,0.01651970085150927
DIAPH3,0.4428,10.7409,10.2981,10041.0,0.0003750724597158324,0.01651970085150927
ACTL6A,0.2831,11.5727,11.2895,10038.0,0.0003819902504072661,0.01671923577251303
SASS6,0.2791,9.5712,9.2921,10036.0,0.00038666816553792354,0.01681505345813412
CNN2,-0.4046,10.963,11.3677,5606.0,0.0003913995738478768,0.01681505345813412
LIN9,0.3116,9.178,8.8664,10033.0,0.0003937855135469732,0.01681505345813412
USF1,0.2395,10.133,9.8934,10032.0,0.00039618503792547907,0.01681505345813412
SLIT3,-0.6523,10.8751,11.5273,5608.0,0.00039618503792547907,0.01681505345813412
SHROOM4,-0.4284,11.109,11.5375,5609.0,0.0003985982181371909,0.016815562178402094
PRIM2,0.2509,10.0621,9.8112,10026.0,0.0004108714705785202,0.017126981597984387
CFH,-0.5506,13.6836,14.2343,5614.0,0.0004108714705785202,0.017126981597984387
NOL7,0.22,10.7157,10.4958,10019.0,0.0004286478965379545,0.01746684424729362
VPS72,0.2932,10.6073,10.3142,10019.0,0.0004286478965379545,0.01746684424729362
TPT1,-0.347,15.0817,15.4287,5621.0,0.0004286478965379545,0.01746684424729362
ESCO2,0.4437,9.0273,8.5836,10018.0,0.00043124523170411566,0.01746684424729362
KIF22,0.3319,11.0047,10.6729,10016.0,0.00043648404159308624,0.01746684424729362
HIST1H2BF,0.418,11.3384,10.9204,10016.0,0.00043648404159308624,0.01746684424729362
PLA2R1,-0.5597,10.3817,10.9415,5624.0,0.00043648404159308624,0.01746684424729362
DTL,0.4735,10.0161,9.5426,10015.0,0.00043912566930640913,0.01747271058041354
XRCC3,0.2977,9.5551,9.2574,10013.0,0.0004444537554209334,0.017493430188888607
DNAJA1,0.2692,13.0052,12.7361,10012.0,0.00044714036895774105,0.017493430188888607
USP21,0.2989,10.1516,9.8527,10012.0,0.00044714036895774105,0.017493430188888607
TTK,0.5091,10.2033,9.6942,10011.0,0.00044984213350549897,0.01750135811632783
PARPBP,0.379,9.5925,9.2135,10008.0,0.00045803911974786547,0.017559281235002104
LIF,-0.76,7.6461,8.4061,5633.0,0.0004608022766983498,0.017559281235002104
MTMR4,0.2371,11.3955,11.1584,10006.0,0.00046358098066984123,0.017559281235002104
H2AFZ,0.298,10.484,10.1859,10006.0,0.00046358098066984123,0.017559281235002104
MAP3K5,-0.3609,11.6371,11.998,5635.0,0.00046637531196778396,0.017559281235002104
SKI,-0.2524,10.981,11.2334,5635.0,0.00046637531196778396,0.017559281235002104
TSHZ2,-0.5757,8.5763,9.1519,5639.0,0.0004777105295559487,0.017740204590014776
CDK2,0.316,10.658,10.342,10000.0,0.00048058421511137814,0.017740204590014776
HIST2H2AC,0.3681,11.5684,11.2003,9999.0,0.0004834740176726685,0.017740204590014776
EPB41,0.3576,12.979,12.6215,9998.0,0.0004863800201746162,0.017740204590014776
HIST2H2BE,0.3955,13.0804,12.6849,9998.0,0.0004863800201746162,0.017740204590014776
DEPDC1,0.5573,8.8302,8.2728,9998.0,0.0004863800201746162,0.017740204590014776
TIMELESS,0.3174,11.2483,10.931,9997.0,0.0004893023059335689,0.017754321494574007
NDUFAB1,0.2322,9.9081,9.6758,9995.0,0.0004951960624045977,0.017815204045761993
LTBP2,-0.5755,12.1111,12.6866,5646.0,0.0004981677016705968,0.017815204045761993
PHLDA1,-0.6396,10.5429,11.1824,5647.0,0.000501155961304457,0.017815204045761993
VRK1,0.3278,11.6083,11.2805,9993.0,0.000501155961304457,0.017815204045761993
PSMB4,0.27,12.4669,12.1969,9992.0,0.0005041609265527939,0.017831509942672807
LRIF1,0.27,10.4633,10.1933,9991.0,0.0005071826830528045,0.017848242861400958
GUCY1A2,-0.5077,8.488,8.9957,5650.0,0.0005102213168338058,0.01786539940893571
PFKFB3,-0.4153,11.0995,11.5148,5651.0,0.0005132769143187419,0.017882976273503232
SUDS3,0.2111,10.6944,10.4833,9985.0,0.000525670683619935,0.018045449987207866
PLEC,-0.3934,15.7278,16.1212,5655.0,0.000525670683619935,0.018045449987207866
HDGF,0.3047,12.5637,12.2589,9985.0,0.000525670683619935,0.018045449987207866
TNS1,-0.555,11.8042,12.3593,5657.0,0.0005319716266810085,0.018172669764132208
TEP1,-0.2963,11.5186,11.8149,5660.0,0.0005415551149746503,0.018249070328674653
DBF4,0.3193,9.5508,9.2315,9980.0,0.0005415551149746503,0.018249070328674653
HIST1H2AG,0.4599,12.2239,11.7639,9979.0,0.0005447851904614424,0.018249070328674653
GLYCTK,-0.2774,9.1949,9.4723,5662.0,0.0005480332067256384,0.018249070328674653
COL27A1,-0.5715,10.7123,11.2838,5662.0,0.0005480332067256384,0.018249070328674653
PTPRE,-0.4276,9.7952,10.2228,5664.0,0.0005545834270692529,0.018249070328674653
KIF2C,0.5026,10.4461,9.9435,9976.0,0.0005545834270692529,0.018249070328674653
DONSON,0.3364,10.1072,9.7708,9975.0,0.0005578858149264817,0.018249070328674653
ACAD9,0.213,12.7969,12.5839,9974.0,0.0005612065111199234,0.018249070328674653
DOCK6,-0.3038,11.0606,11.3643,5666.0,0.0005612065111199234,0.018249070328674653
FOXC2,-0.901,6.4955,7.3965,5666.5,0.0005628729388824396,0.018249070328674653
LDLR,-0.4418,11.6667,12.1084,5669.0,0.0005712793811443915,0.018436265005318773
CELSR1,-0.7991,10.0674,10.8665,5670.0,0.0005746742442173517,0.018460751065385844
CBX3,0.2728,11.4466,11.1738,9967.0,0.0005849718773660914,0.018705744553400634
GGH,0.5503,9.188,8.6376,9965.0,0.0005919321252698732,0.01875452814417141
RAB11FIP4,0.4579,10.7685,10.3106,9963.0,0.000598969400673815,0.01875452814417141
TOPBP1,0.2494,12.0976,11.8482,9963.0,0.000598969400673815,0.01875452814417141
PLEKHG2,-0.3182,10.5011,10.8193,5678.0,0.000602517166981871,0.01875452814417141
HMGB2,0.4101,11.2159,10.8058,9961.0,0.000606084482991637,0.01875452814417141
DUSP6,-0.523,9.7851,10.3081,5679.0,0.000606084482991637,0.01875452814417141
SLCO3A1,-0.3896,9.1061,9.4956,5680.0,0.000609671447225774,0.01875452814417141
CCDC77,0.3036,9.2964,8.9928,9960.0,0.000609671447225774,0.01875452814417141
MCM6,0.2894,11.1994,10.9101,9959.0,0.0006132781586484725,0.01875452814417141
DUSP12,0.2736,9.5878,9.3142,9959.0,0.0006132781586484725,0.01875452814417141
A4GALT,-0.4858,9.216,9.7018,5685.0,0.0006279044710558346,0.01911832613393048
HMGB3,0.4539,10.6301,10.1761,9954.0,0.0006316114184547994,0.019147942698869956
KNSTRN,0.356,9.4272,9.0711,9952.0,0.0006390864663732998,0.01929104536212163
SNX18,-0.2223,9.1803,9.4027,5689.0,0.0006428547715515471,0.019321510580152294
LOXL1,-0.5606,8.3839,8.9445,5690.0,0.0006466437347416434,0.0193523336512638
ANXA9,0.925,8.0299,7.1048,9949.0,0.0006504534594155598,0.01938351309058368
SPRED1,-0.3874,11.492,11.8794,5695.0,0.0006659020585295029,0.019759797101195374
HMGA2,-1.3508,3.9506,5.3013,5697.0,0.0006732219265478906,0.01982477655316569
PLEKHH2,-0.5275,9.923,10.4504,5697.0,0.0006737536512428151,0.01982477655316569
LRP10,-0.2484,10.7499,10.9983,5700.0,0.0006856925502567711,0.020091652424469322
RIN3,-0.3261,8.9773,9.3034,5701.0,0.0006897156828097577,0.02012532886131972
RNF217,-0.4646,8.5204,8.985,5702.0,0.000693760745787022,0.020159363081935743
NUP107,0.2694,12.2676,11.9982,9933.0,0.0007143188526896375,0.020371012704729623
PPOX,0.2981,10.0402,9.7421,9933.0,0.0007143188526896375,0.020371012704729623
KIT,-0.6177,9.5521,10.1697,5707.0,0.0007143188526896375,0.020371012704729623
PDE4A,-0.3443,8.9053,9.2496,5708.0,0.0007184978063784402,0.020371012704729623
CENPF,0.5098,12.692,12.1823,9932.0,0.0007184978063784402,0.020371012704729623
ABCA9,-0.772,8.8168,9.5887,5708.0,0.0007184978063784402,0.020371012704729623
EFNB1,-0.5423,9.3041,9.8464,5709.0,0.0007226994644115276,0.02040751753739487
PHLDB1,-0.4261,10.5126,10.9386,5710.0,0.0007269239393016559,0.020444370871202794
LDB2,-0.4527,8.6232,9.0759,5712.0,0.0007354417921737446,0.020519119006345548
AURKA,0.41,11.2271,10.8171,9928.0,0.0007354417921737446,0.020519119006345548
CCNE2,0.5573,8.3899,7.8326,9926.0,0.0007440522750008289,0.020676976515201603
TOP2A,0.4658,13.7187,13.253,9923.0,0.0007571436907084961,0.020793244180516073
PPM1H,0.6349,9.0004,8.3655,9923.0,0.0007571436907084961,0.020793244180516073
PSMC3IP,0.3216,9.817,9.4954,9923.0,0.0007571436907084961,0.020793244180516073
CXCL10,1.1099,9.3657,8.2558,9920.0,0.0007704487233871379,0.020831862586409757
ILF2,0.2721,13.0579,12.7858,9920.0,0.0007704487233871379,0.020831862586409757
STMN1,0.5022,11.7474,11.2452,9920.0,0.0007704487233871379,0.020831862586409757
JAG1,-0.5291,13.3823,13.9114,5720.0,0.0007704487233871379,0.020831862586409757
RAB5A,0.1975,10.8954,10.6979,9919.0,0.0007749317520075344,0.020872488689649093
SHC1,-0.2553,11.2873,11.5425,5723.0,0.0007839705464077355,0.02103504113598993
FOXO1,-0.3814,9.4837,9.8651,5724.0,0.0007885265508481028,0.021076532196905588
PIGM,0.2797,10.2073,9.9276,9914.0,0.0007977123747527974,0.021160529395431213
KIF18A,0.4253,9.7006,9.2754,9914.0,0.0007977123747527974,0.021160529395431213
FAM221A,0.3721,8.8466,8.4745,9913.0,0.0008023424359991695,0.021203034261517675
NDUFS2,0.261,13.2675,13.0065,9912.0,0.000806997425503235,0.02124587583007201
CD93,-0.3997,9.0739,9.4736,5731.0,0.0008211131882503778,0.021536538042387247
KNOP1,0.2269,9.9365,9.7095,9908.0,0.0008258691181252098,0.02158045311280166
PODXL2,0.6723,9.8301,9.1578,9905.0,0.0008402906752691535,0.021794650366332897
UBE2T,0.4558,9.4275,8.9717,9905.0,0.0008402906752691535,0.021794650366332897
SPTBN1,-0.2384,14.6667,14.9051,5737.0,0.0008500344417073544,0.021966019170762373
DNMBP,-0.3912,10.9704,11.3616,5739.0,0.0008598829059802187,0.022138823494777467
KIF14,0.4684,10.6966,10.2283,9898.0,0.0008748541506424601,0.022400609002995994
MAMDC2,-0.7795,6.4013,7.1808,5744.0,0.0008849688535820932,0.022400609002995994
COL4A6,-0.85,8.3287,9.1787,5745.0,0.0008900667580133436,0.022400609002995994
BRIP1,0.418,11.5424,11.1244,9895.0,0.0008900667580133436,0.022400609002995994
TMEM106C,0.3418,11.1128,10.771,9894.0,0.0008951918728375021,0.022400609002995994
CLK4,-0.2409,9.4846,9.7255,5747.0,0.0009003443300700581,0.022400609002995994
SNED1,-0.597,7.8856,8.4827,5748.0,0.0009055242622901173,0.022400609002995994
CGNL1,-0.5627,9.8095,10.3722,5748.0,0.0009055242622901173,0.022400609002995994
RFC2,0.2538,9.8371,9.5833,9891.0,0.0009107318026423511,0.022400609002995994
RPA1,0.2247,11.8609,11.6362,9891.0,0.0009107318026423511,0.022400609002995994
GADD45A,-0.3463,8.8126,9.159,5749.0,0.0009107318026423511,0.022400609002995994
WHSC1,0.2789,12.4685,12.1896,9890.0,0.0009159670848390113,0.022400609002995994
FAM50A,0.2761,12.0024,11.7263,9890.0,0.0009159670848390113,0.022400609002995994
CHD9,-0.2254,13.3976,13.623,5751.0,0.0009212302431619087,0.022400609002995994
NDST1,-0.2669,11.6334,11.9003,5751.0,0.0009212302431619087,0.022400609002995994
PARP2,0.1799,10.8391,10.6592,9889.0,0.0009212302431619087,0.022400609002995994
FANCD2,0.331,12.9161,12.5851,9884.0,0.000947968916654738,0.022971025340253044
GGCT,0.3553,9.9895,9.6343,9883.0,0.0009534021838008065,0.023023018941920853
PTPRG,-0.3845,11.0982,11.4828,5758.0,0.0009588642831618773,0.023075349054923117
SNORA22,0.3119,11.8754,11.5636,9881.0,0.0009643553536485559,0.023128015553427524
RIN2,-0.3309,12.0625,12.3934,5760.0,0.0009698755347591452,0.023155596749056342
RBMS3,-0.4992,8.6045,9.1038,5761.0,0.0009754249665816965,0.023155596749056342
TRIB2,-0.4869,9.574,10.061,5761.0,0.0009754249665816965,0.023155596749056342
CDK1,0.4668,10.359,9.8922,9873.0,0.001009343742223268,0.02364024825013226
CENPJ,0.2777,11.6534,11.3758,9873.0,0.001009343742223268,0.02364024825013226
MKI67,0.4389,15.005,14.5661,9873.0,0.001009343742223268,0.02364024825013226
SAMD4A,-0.456,9.6273,10.0832,5767.0,0.001009343742223268,0.02364024825013226
ATF6,0.2259,12.6721,12.4462,9871.0,0.0010208904535986294,0.02383098615517067
TDRKH,0.444,8.7889,8.3448,9869.0,0.0010325593191119304,0.023943751363380294
ARHGAP6,-0.556,7.4039,7.9599,5771.0,0.0010325593191119304,0.023943751363380294
UHMK1,0.2447,12.4633,12.2186,9868.0,0.0010384399253007442,0.024000642893997066
ENSA,0.2986,9.3026,9.004,9867.0,0.0010443515100072302,0.024036635395035536
ZFP36L2,-0.3808,10.3332,10.7141,5774.0,0.0010502942211739075,0.024036635395035536
H2AFV,0.2309,10.1927,9.9618,9866.0,0.0010502942211739075,0.024036635395035536
CCNF,0.357,9.5982,9.2412,9864.0,0.0010622736177540047,0.024174443153397503
NCAPD2,0.2868,12.6478,12.361,9863.0,0.0010683106021548991,0.024174443153397503
