model,mean_auc,std_auc,mean_accuracy,mean_f1
Expression-only LR,0.9876376280724106,0.012922339078240482,0.9461581920903954,0.8755421947146085
Clinical-only LR,0.7206813717683282,0.08615734943377709,0.7980790960451978,0.3569954297508477
Integrated LR,0.9895832669745713,0.010070274553180493,0.9596610169491525,0.9068812260536397
Integrated GB,0.9796644900992728,0.02213016336501018,0.9461581920903954,0.8794757834757835
