gene,log2FC,p_value,ranking_metric
CEP55,0.4645,0.0003506964918510773,3.455068578507831
NUP210,0.4388,0.0003615867893943451,3.441787444894527
CEP152,0.231,0.0003682719169826895,3.4338313975297274
CXCL9,1.3257,0.00037052585068042434,3.431181486966113
CREB3L4,0.3713,0.00037279267563124674,3.4285326289472975
DIAPH3,0.4428,0.0003750724597158324,3.425884823432711
ACTL6A,0.2831,0.0003819902504072661,3.417947721508081
SASS6,0.2791,0.00038666816553792354,3.412661582000707
LIN9,0.3116,0.0003937855135469732,3.404740264587777
USF1,0.2395,0.00039618503792547907,3.40210192977955
PRIM2,0.2509,0.0004108714705785202,3.3862940135214696
NOL7,0.22,0.0004286478965379545,3.3678993031030013
VPS72,0.2932,0.0004286478965379545,3.3678993031030013
ESCO2,0.4437,0.00043124523170411566,3.3652756939036883
HIST1H2BF,0.418,0.00043648404159308624,3.360031630022003
KIF22,0.3319,0.00043648404159308624,3.360031630022003
DTL,0.4735,0.00043912566930640913,3.357411175256602
XRCC3,0.2977,0.0004444537554209334,3.3521734198688167
DNAJA1,0.2692,0.00044714036895774105,3.349556119163178
USP21,0.2989,0.00044714036895774105,3.349556119163178
TTK,0.5091,0.00044984213350549897,3.3469398697274726
PARPBP,0.379,0.00045803911974786547,3.33909742862255
H2AFZ,0.298,0.00046358098066984123,3.3338743901363457
MTMR4,0.2371,0.00046358098066984123,3.3338743901363457
CDK2,0.316,0.00048058421511137814,3.3182304977905592
HIST2H2AC,0.3681,0.0004834740176726685,3.3156268603288335
EPB41,0.3576,0.0004863800201746162,3.3130242735916813
DEPDC1,0.5573,0.0004863800201746162,3.3130242735916813
HIST2H2BE,0.3955,0.0004863800201746162,3.3130242735916813
TIMELESS,0.3174,0.0004893023059335689,3.310422737536884
NDUFAB1,0.2322,0.0004951960624045977,3.3052228173052933
VRK1,0.3278,0.000501155961304457,3.300027099295547
PSMB4,0.27,0.0005041609265527939,3.29743081601791
LRIF1,0.27,0.0005071826830528045,3.2948355831685148
HDGF,0.3047,0.000525670683619935,3.2792862426831384
SUDS3,0.2111,0.000525670683619935,3.2792862426831384
DBF4,0.3193,0.0005415551149746503,3.266357337909742
HIST1H2AG,0.4599,0.0005447851904614424,3.263774706874079
KIF2C,0.5026,0.0005545834270692529,3.2560331128322924
DONSON,0.3364,0.0005578858149264817,3.253454681029985
ACAD9,0.213,0.0005612065111199234,3.250877298928336
CBX3,0.2728,0.0005849718773660914,3.2328650122055147
GGH,0.5503,0.0005919321252698732,3.227728089410081
RAB11FIP4,0.4579,0.000598969400673815,3.2225953636840683
TOPBP1,0.2494,0.000598969400673815,3.2225953636840683
HMGB2,0.4101,0.000606084482991637,3.2174668346789397
CCDC77,0.3036,0.000609671447225774,3.2149041438376127
MCM6,0.2894,0.0006132781586484725,3.212342502045515
