filename	gene_list_size	cluster_number	cluster_size	n_genes	n_terms	n_edges	n_libraries	density	libraries
permutation_0650	450	4	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0650	450	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0650	450	6	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0651	450	1	64	53	11	71	6	1.3396226415094339	C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0651	450	2	11	8	3	12	3	1.5	C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0651	450	3	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0651	450	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0651	450	5	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0651	450	6	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0652	450	1	44	36	8	48	4	1.3333333333333333	C2: CP: BioCarta, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0652	450	2	18	13	5	21	5	1.6153846153846154	C2: CP: Canonical pathways, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0652	450	3	12	10	2	13	2	1.3	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0652	450	4	10	9	1	9	1	1.0	C5: GO: Biological Process
permutation_0652	450	5	8	4	4	13	4	3.25	C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0652	450	6	8	6	2	9	2	1.5	C2: CP: KEGG MEDICUS, C5: GO: Cellular Component
permutation_0652	450	7	6	5	1	5	1	1.0	C5: GO: Cellular Component
permutation_0652	450	8	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0652	450	9	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0653	450	1	90	74	16	95	6	1.2837837837837838	C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0653	450	2	14	10	4	17	3	1.7	C2: CP: BioCarta, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0653	450	3	8	7	1	7	1	1.0	C5: GO: Biological Process
permutation_0653	450	4	8	6	2	11	2	1.8333333333333333	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0653	450	5	7	5	2	7	2	1.4	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0653	450	6	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0653	450	7	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0653	450	8	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0654	450	1	39	32	7	46	5	1.4375	C2: CP: KEGG MEDICUS, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function, H: Hallmark Gene Sets
permutation_0654	450	2	37	29	8	40	4	1.3793103448275863	C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0654	450	3	26	18	8	35	5	1.9444444444444444	C2: CP: KEGG MEDICUS, C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0654	450	4	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0654	450	5	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0654	450	6	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0654	450	7	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0655	450	1	56	41	15	64	8	1.5609756097560976	C2: CP: BioCarta, C2: CP: Canonical pathways, C2: CP: KEGG Legacy, C2: CP: KEGG MEDICUS, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0655	450	2	33	28	5	34	3	1.2142857142857142	C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0655	450	3	8	6	2	7	2	1.1666666666666667	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0655	450	4	6	5	1	5	1	1.0	C5: GO: Biological Process
permutation_0655	450	5	4	3	1	3	1	1.0	C2: CP: BioCarta
permutation_0655	450	6	4	3	1	3	1	1.0	C2: CP: KEGG MEDICUS
permutation_0655	450	7	4	3	1	3	1	1.0	C2: CP: Canonical pathways
permutation_0656	450	1	26	21	5	27	3	1.2857142857142858	C5: GO: Biological Process, C5: GO: Cellular Component, H: Hallmark Gene Sets
permutation_0656	450	2	14	12	2	18	2	1.5	C2: CP: KEGG Legacy, C5: GO: Biological Process
permutation_0656	450	3	10	8	2	9	2	1.125	C2: CP: Canonical pathways, C5: GO: Biological Process
permutation_0656	450	4	7	5	2	6	2	1.2	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0656	450	5	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0656	450	6	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0656	450	7	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0657	450	1	29	22	7	33	4	1.5	C2: CP: KEGG MEDICUS, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0657	450	2	15	11	4	17	4	1.5454545454545454	C2: CP: BioCarta, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Cellular Component
permutation_0657	450	3	8	6	2	9	2	1.5	C2: CP: KEGG MEDICUS, C5: GO: Cellular Component
permutation_0657	450	4	7	6	1	6	1	1.0	C5: GO: Biological Process
permutation_0657	450	5	7	6	1	6	1	1.0	C5: GO: Biological Process
permutation_0657	450	6	7	5	2	9	2	1.8	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0657	450	7	6	5	1	5	1	1.0	C2: CP: Pathway Interaction Database
permutation_0657	450	8	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0657	450	9	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0657	450	10	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0657	450	11	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0658	450	1	24	20	4	25	4	1.25	C2: CP: BioCarta, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0658	450	2	22	15	7	26	5	1.7333333333333334	C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0658	450	3	11	8	3	10	2	1.25	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0658	450	4	8	6	2	8	2	1.3333333333333333	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0658	450	5	7	5	2	6	2	1.2	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0658	450	6	7	6	1	6	1	1.0	C5: GO: Biological Process
permutation_0658	450	7	7	5	2	6	2	1.2	C2: CP: BioCarta, C5: GO: Biological Process
permutation_0658	450	8	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0659	450	1	44	31	13	52	7	1.6774193548387097	C2: CP: BioCarta, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0659	450	2	32	27	5	35	3	1.2962962962962963	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0659	450	3	18	15	3	18	3	1.2	C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0659	450	4	9	7	2	8	2	1.1428571428571428	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0659	450	5	8	6	2	7	2	1.1666666666666667	C2: CP: Canonical pathways, C5: GO: Biological Process
permutation_0659	450	6	5	3	2	6	2	2.0	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0659	450	7	5	4	1	4	1	1.0	C5: GO: Cellular Component
permutation_0659	450	8	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0659	450	9	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0660	450	1	63	49	14	71	6	1.4489795918367347	C2: CP: KEGG MEDICUS, C2: CP: Pathway Interaction Database, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0660	450	2	10	8	2	9	2	1.125	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0660	450	3	7	5	2	6	2	1.2	C2: CP: BioCarta, C5: GO: Biological Process
permutation_0660	450	4	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0660	450	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0660	450	6	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0661	450	1	79	63	16	96	9	1.5238095238095237	C2: CP: BioCarta, C2: CP: Canonical pathways, C2: CP: KEGG Legacy, C2: CP: KEGG MEDICUS, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0661	450	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0661	450	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0662	450	1	28	22	6	28	4	1.2727272727272727	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0662	450	2	26	20	6	27	4	1.35	C2: CP: Canonical pathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0662	450	3	17	14	3	17	2	1.2142857142857142	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0662	450	4	8	6	2	7	2	1.1666666666666667	C2: CP: Canonical pathways, C5: GO: Molecular Function
permutation_0662	450	5	7	6	1	6	1	1.0	C5: GO: Biological Process
permutation_0662	450	6	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0662	450	7	5	4	1	4	1	1.0	C2: CP: Reactome Pathways
permutation_0662	450	8	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0663	450	1	94	75	19	109	8	1.4533333333333334	C2: CP: BioCarta, C2: CP: Canonical pathways, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0663	450	2	20	17	3	21	2	1.2352941176470589	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0663	450	3	16	13	3	16	3	1.2307692307692308	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0663	450	4	7	5	2	8	2	1.6	C2: CP: Reactome Pathways, C5: GO: Cellular Component
permutation_0663	450	5	4	3	1	3	1	1.0	C2: CP: KEGG MEDICUS
permutation_0664	450	1	24	17	7	28	4	1.6470588235294117	C2: CP: KEGG Legacy, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0664	450	2	15	11	4	14	3	1.2727272727272727	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0664	450	3	11	8	3	10	2	1.25	C2: CP: BioCarta, C5: GO: Biological Process
permutation_0664	450	4	8	6	2	7	2	1.1666666666666667	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0664	450	5	7	5	2	6	2	1.2	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0664	450	6	6	4	2	6	2	1.5	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0664	450	7	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0664	450	8	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0664	450	9	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0664	450	10	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0665	450	1	122	96	26	154	6	1.6041666666666667	C2: CP: Canonical pathways, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0665	450	2	6	4	2	6	2	1.5	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0665	450	3	6	4	2	7	2	1.75	C2: CP: Reactome Pathways, C2: CP: WikiPathways
permutation_0665	450	4	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0665	450	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0665	450	6	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0665	450	7	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0665	450	8	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0665	450	9	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0666	450	1	59	47	12	62	6	1.3191489361702127	C2: CP: Canonical pathways, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0666	450	2	26	20	6	27	4	1.35	C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0666	450	3	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0666	450	4	5	4	1	4	1	1.0	C2: CP: Reactome Pathways
permutation_0666	450	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0666	450	6	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0666	450	7	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0666	450	8	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0667	450	1	79	63	16	82	7	1.3015873015873016	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function, H: Hallmark Gene Sets
permutation_0667	450	2	26	22	4	28	3	1.2727272727272727	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0667	450	3	6	5	1	5	1	1.0	C5: GO: Molecular Function
permutation_0667	450	4	6	5	1	5	1	1.0	C5: GO: Cellular Component
permutation_0667	450	5	5	4	1	4	1	1.0	C2: CP: Reactome Pathways
permutation_0667	450	6	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0668	450	1	38	30	8	46	5	1.5333333333333334	C2: CP: BioCarta, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0668	450	2	26	20	6	25	5	1.25	C2: CP: Canonical pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0668	450	3	12	10	2	13	2	1.3	C2: CP: Reactome Pathways, C5: GO: Molecular Function
permutation_0668	450	4	7	6	1	6	1	1.0	C5: GO: Molecular Function
permutation_0668	450	5	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0668	450	6	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0669	450	1	66	53	13	69	6	1.3018867924528301	C2: CP: KEGG Legacy, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, H: Hallmark Gene Sets
permutation_0669	450	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0669	450	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0669	450	4	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0669	450	5	4	3	1	3	1	1.0	C2: CP: WikiPathways
permutation_0669	450	6	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0670	450	1	44	36	8	54	6	1.5	C2: CP: KEGG Legacy, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, H: Hallmark Gene Sets
permutation_0670	450	2	10	7	3	13	3	1.8571428571428572	C2: CP: BioCarta, C2: CP: Reactome Pathways, C2: CP: WikiPathways
permutation_0670	450	3	10	8	2	9	2	1.125	C2: CP: Reactome Pathways, C5: GO: Molecular Function
permutation_0670	450	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0670	450	5	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0670	450	6	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0671	450	1	43	33	10	45	6	1.3636363636363635	C2: CP: BioCarta, C2: CP: KEGG MEDICUS, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0671	450	2	18	15	3	17	2	1.1333333333333333	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0671	450	3	15	12	3	17	3	1.4166666666666667	C2: CP: KEGG Legacy, C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0671	450	4	6	4	2	6	2	1.5	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0671	450	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0671	450	6	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0672	450	1	31	25	6	41	5	1.64	C2: CP: Canonical pathways, C2: CP: KEGG MEDICUS, C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0672	450	2	31	23	8	31	4	1.3478260869565217	C2: CP: KEGG MEDICUS, C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0672	450	3	20	16	4	19	3	1.1875	C2: CP: Pathway Interaction Database, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0672	450	4	5	4	1	4	1	1.0	C2: CP: Pathway Interaction Database
permutation_0673	450	1	41	34	7	42	4	1.2352941176470589	C2: CP: Canonical pathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0673	450	2	23	20	3	22	3	1.1	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0673	450	3	8	7	1	7	1	1.0	C5: GO: Cellular Component
permutation_0673	450	4	7	5	2	6	2	1.2	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0673	450	5	7	5	2	6	2	1.2	C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0673	450	6	6	5	1	5	1	1.0	C5: GO: Biological Process
permutation_0673	450	7	5	4	1	4	1	1.0	C2: CP: Canonical pathways
permutation_0673	450	8	5	4	1	4	1	1.0	C2: CP: Reactome Pathways
permutation_0673	450	9	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0674	450	1	76	59	17	83	8	1.4067796610169492	C2: CP: BioCarta, C2: CP: Canonical pathways, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function, H: Hallmark Gene Sets
permutation_0674	450	2	9	7	2	8	2	1.1428571428571428	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0674	450	3	7	5	2	6	2	1.2	C2: CP: Canonical pathways, C5: GO: Biological Process
permutation_0674	450	4	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0674	450	5	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0674	450	6	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0675	450	1	26	20	6	35	5	1.75	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0675	450	2	14	12	2	13	2	1.0833333333333333	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0675	450	3	13	8	5	17	4	2.125	C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0675	450	4	7	6	1	6	1	1.0	C5: GO: Biological Process
permutation_0675	450	5	6	5	1	5	1	1.0	C5: GO: Biological Process
permutation_0675	450	6	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0676	450	1	86	66	20	99	6	1.5	C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0676	450	2	7	5	2	6	2	1.2	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0676	450	3	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0677	450	1	95	73	22	114	6	1.5616438356164384	C2: CP: Canonical pathways, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0677	450	2	7	5	2	6	2	1.2	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0677	450	3	5	4	1	4	1	1.0	C2: CP: Reactome Pathways
permutation_0677	450	4	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0677	450	5	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0677	450	6	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0678	450	1	163	132	31	222	8	1.6818181818181819	C2: CP: KEGG Legacy, C2: CP: KEGG MEDICUS, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0678	450	2	7	6	1	6	1	1.0	C5: GO: Molecular Function
permutation_0678	450	3	5	4	1	4	1	1.0	C5: GO: Molecular Function
permutation_0678	450	4	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0678	450	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0678	450	6	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0678	450	7	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0679	450	1	29	23	6	31	5	1.3478260869565217	C2: CP: KEGG MEDICUS, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0679	450	2	14	12	2	19	2	1.5833333333333333	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0679	450	3	13	9	4	21	4	2.3333333333333335	C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0679	450	4	6	5	1	5	1	1.0	C5: GO: Biological Process
permutation_0679	450	5	5	4	1	4	1	1.0	C5: GO: Cellular Component
permutation_0679	450	6	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0679	450	7	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0679	450	8	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0679	450	9	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0680	450	1	67	57	10	73	5	1.280701754385965	C2: CP: BioCarta, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0680	450	2	10	7	3	10	3	1.4285714285714286	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0680	450	3	9	7	2	8	2	1.1428571428571428	C2: CP: Reactome Pathways, C5: GO: Molecular Function
permutation_0680	450	4	8	6	2	7	2	1.1666666666666667	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0680	450	5	7	5	2	6	2	1.2	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways
permutation_0680	450	6	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0680	450	7	5	4	1	4	1	1.0	C5: GO: Molecular Function
permutation_0680	450	8	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0680	450	9	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0680	450	10	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0680	450	11	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0681	450	1	111	94	17	127	7	1.351063829787234	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function, H: Hallmark Gene Sets
permutation_0681	450	2	9	7	2	12	2	1.7142857142857142	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways
permutation_0681	450	3	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0681	450	4	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0681	450	5	4	3	1	3	1	1.0	C2: CP: WikiPathways
permutation_0681	450	6	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0681	450	7	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0681	450	8	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0682	450	1	146	116	30	177	9	1.5258620689655173	C2: CP: BioCarta, C2: CP: Canonical pathways, C2: CP: KEGG Legacy, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0682	450	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0682	450	3	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0682	450	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0683	450	1	76	61	15	108	8	1.7704918032786885	C2: CP: Canonical pathways, C2: CP: KEGG Legacy, C2: CP: KEGG MEDICUS, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0683	450	2	6	5	1	5	1	1.0	C5: GO: Cellular Component
permutation_0683	450	3	5	4	1	4	1	1.0	C2: CP: Reactome Pathways
permutation_0683	450	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0683	450	5	4	3	1	3	1	1.0	C2: CP: KEGG Legacy
permutation_0683	450	6	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0683	450	7	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0683	450	8	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0684	450	1	96	73	23	122	9	1.6712328767123288	C2: CP: BioCarta, C2: CP: Canonical pathways, C2: CP: KEGG MEDICUS, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0684	450	2	8	7	1	7	1	1.0	C5: GO: Biological Process
permutation_0684	450	3	7	6	1	6	1	1.0	C5: GO: Biological Process
permutation_0684	450	4	5	3	2	6	2	2.0	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0684	450	5	5	4	1	4	1	1.0	C2: CP: WikiPathways
permutation_0684	450	6	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0685	450	1	60	43	17	73	9	1.697674418604651	C2: CP: BioCarta, C2: CP: Canonical pathways, C2: CP: KEGG MEDICUS, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0685	450	2	16	14	2	21	2	1.5	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0685	450	3	9	8	1	8	1	1.0	C2: CP: Reactome Pathways
permutation_0685	450	4	5	4	1	4	1	1.0	C2: CP: Canonical pathways
permutation_0685	450	5	5	4	1	4	1	1.0	C5: GO: Molecular Function
permutation_0685	450	6	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0685	450	7	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0685	450	8	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0686	450	1	48	36	12	49	5	1.3611111111111112	C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0686	450	2	11	8	3	17	3	2.125	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0686	450	3	6	5	1	5	1	1.0	C5: GO: Biological Process
