filename	gene_list_size	cluster_number	cluster_size	n_genes	n_terms	n_edges	n_libraries	density	libraries
permutation_0251	50	2	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0252	50	1	11	8	3	10	2	1.25	C5: GO: Biological Process, H: Hallmark Gene Sets
permutation_0253	50	1	7	5	2	6	2	1.2	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0253	50	2	7	5	2	6	2	1.2	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0254	50	1	10	7	3	9	2	1.2857142857142858	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0254	50	2	6	5	1	5	1	1.0	C5: GO: Biological Process
permutation_0254	50	3	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0254	50	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0254	50	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0256	50	1	12	7	5	15	5	2.142857142857143	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0256	50	2	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0257	50	1	7	5	2	7	2	1.4	C2: CP: Reactome Pathways, C5: GO: Cellular Component
permutation_0258	50	1	22	14	8	28	6	2.0	C2: CP: Canonical pathways, C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0259	50	1	16	11	5	17	3	1.5454545454545454	C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0260	50	1	14	10	4	13	3	1.3	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0261	50	1	6	4	2	6	2	1.5	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0261	50	2	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0261	50	3	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0262	50	1	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0264	50	1	11	7	4	14	4	2.0	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0264	50	2	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0265	50	1	20	14	6	20	3	1.4285714285714286	C5: GO: Biological Process, C5: GO: Molecular Function, H: Hallmark Gene Sets
permutation_0266	50	1	8	5	3	9	3	1.8	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0267	50	1	8	6	2	7	2	1.1666666666666667	C5: GO: Biological Process, H: Hallmark Gene Sets
permutation_0267	50	2	7	5	2	6	2	1.2	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0268	50	1	8	5	3	9	3	1.8	C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0268	50	2	5	4	1	4	1	1.0	H: Hallmark Gene Sets
permutation_0269	50	1	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0269	50	2	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0270	50	1	6	5	1	5	1	1.0	C5: GO: Biological Process
permutation_0271	50	1	7	6	1	6	1	1.0	C5: GO: Biological Process
permutation_0272	50	1	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0273	50	1	15	11	4	18	2	1.6363636363636365	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0274	50	1	13	10	3	12	2	1.2	C2: CP: WikiPathways, C5: GO: Molecular Function
permutation_0275	50	1	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0275	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0275	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0275	50	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0275	50	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0276	50	1	15	10	5	19	5	1.9	C2: CP: Canonical pathways, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
